videoId,title,category,comment,commentLikes,crawl_time
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Beat giống with you của Jay Sean dữ,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Khéttttt,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Hay điên ❤️❤️,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,hâm thật,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,🥰,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,.,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Ver Richie peak vl,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,🎉🎉,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Richie với Robber nên làm 1 bài mumble,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,hay,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,mới nghe manbo xong qua đây rửa tai,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Không hiểu giờ âm nhạc trẻ nó biến thành cái gì? 😂,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,.,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,fox,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,rung động ,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,❤️❤️,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,đợi mãi bản full mà ra hơn tuần rồi mới lướt thấy huhu,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,He,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,So dope! Keep it up you guy,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,hay qua,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,MV quá đẹp quá chất lượng còn nhạc thì khỏi bàn,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,đây mới là âm nhạc chất lượng đại diện cho rap việt.,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,😁,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,"Youngtobiedasick
Hmm, yeah
Nặng chân bước…
Nặng chân bước anh đi qua người lòng quặn lại không nguôi
Đưa đôi tay với những ngôi sao xa vời sợ lạc vào vòng đông vui
Trong đêm vắng khúc ca anh đàn, gió se lạnh dòng thời gian trôi
Lệ cay hoá giấc mơ nhanh tàn, ký ức còn đọng lại trên môi
Lại một lần nữa
lại một lần nữa
lại một lần nữa
Anh đã quá vô tâm lại nữa
lại một lần nữa
lại một lần nữa
Kỷ niệm giữa chúng ta lại vỡ
lại một lần nữa
lại một lần nữa
lại một lần nữa
lại một lần nữa
Cho cảm xúc này được buồn phiền để còn ngồi vào làm việc em ơi
Anh chỉ ghé lại nhìn dòng đời hoà vào làn người rồi nhẹ êm trôi
Tai nghe tiếng đàn tình tịch tình tịch điệu nhạc lạnh lùng lên ngôi
Lang thang bước tìm đường về nhà, anh đang bước tìm đường về nhà
Mùi hương đó ở nơi em đôi bờ vai hao gầy
Trong đêm tối ánh trăng kia soi coi anh thành ai sau này
Đèn hiu hắt khói sương âm u anh không còn bay theo bầy
Dù ai nói anh ra sao anh cũng chẳng muốn cau mày
Mờ vào làn khói trời tối đen, trời tối đen
Đầu toàn lời nói làm rối ren hơn, làm rối ren
Chừng lồng ngực nhói lại nhói lên, lại nhói lên
Lại toàn lời nói
“chỉ có em…”
Nặng chân bước anh đi qua người lòng quặn lại không nguôi
Đưa đôi tay với những ngôi sao xa vời sợ lạc vào vòng đông vui
Trong đêm vắng khúc ca anh đàn, gió se lạnh dòng thời gian trôi
Lệ cay hoá giấc mơ nhanh tàn, ký ức còn đọng lại trên môi

RICHIE D. ICY
Ring ring who the fuck is that?
Tobie, lemme hold me back
Hold on what’s going on
Fuck that zaza then forget it all
Look thru the windows tao thấy mưa đang rơi
Nhớ đến cô ấy everyday đã sang chơi (Oh no)
Tất cả cũng đã tan biến mất rồi (Oh no)
Cô ấy đánh cắp trái tim anh
thơm như là hoa cuz she’s a diva
Havin’ a sip
sour and sweet she taste like Margarita
Anh không thể nào hiểu được em
mà chỉ biết ngồi xem và nghe tiếng qua loa
Anh đưa hết tất cả những thứ mà anh đa nghi
diamonds blue baby shine that guitar
Dancing by the moon, let the stars align
It’s just me and you, we gon be alright
Hunnid on the dash, passing thru the night

Tay anh vẫn còn lái, nhưng không biết nói với ai
Nặng chân bước anh đi qua người lòng quặn lại không nguôi
Đưa đôi tay với những ngôi sao xa vời sợ lạc vào vòng đông vui
Trong đêm vắng khúc ca anh đàn, gió se lạnh dòng thời gian trôi
Lệ cay hoá giấc mơ nhanh tàn, ký ức còn đọng lại trên môi
Nặng chân bước anh đi qua người lòng quặn lại không nguôi
Đưa đôi tay với những ngôi sao xa vời sợ lạc vào vòng đông vui
Trong đêm vắng khúc ca anh đàn, gió se lạnh dòng thời gian trôi
Lệ cay hoá giấc mơ nhanh tàn, ký ức còn đọng lại trên môi",0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Gigi's right here!,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,ác vl. 2 anh trai này đều vợ t hết nha :),0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Má ơi dát vàng lỗ tai. Đã quá à,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,con bất hiếu,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,cha,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,cháy quá Ah oiii,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,bài này nghe lần đầu đã dính,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,🎉,0,2025-10-23 06:15:37
